;1/4  µ·  450
;1/5  Ã¼·ÂÈ¸º¹¾à(´ë)
;1/10  ¸¶·ÂÈ¸º¹¾à(´ë)
;1/20  ¼±È­¼ö
;1/20  ¼±È­¼ö
;1/20  ¼±È­¼ö

;1/2000   È­°æ
;1/1000   Á×Àû
;1/1000   »þ¸¸ÀÇÅõ±¸
;1/1000   º®»ç°Ë
;1/2000   »êÈ£¼®¹ÝÁö
;1/1000   Åð¸¶¹ÝÁö

;1/1500   ÇØ°ñÅõ±¸
;1/1500   »ç½ÅÀÇÀå°©
;1/1500   ¿¬ÀÚºÎ

;1/500   ¹Ì°©ÁÖ(³²)
;1/500   ¹Ì°©ÁÖ(¿©)
;1/500   µµ½ÅÀÇ(¿©)
;1/500   µµ½ÅÀÇ(³²)
;1/500   È­¿°¸¶ÀÇ(³²)
;1/500   È­¿°¸¶ÀÇ(¿©)
;1/500   È²±Ý¹ÝÁö
;1/500   Ã»¿Á¼®¸ñ°ÉÀÌ
;1/500   È²±ÝÆMeatî
;1/500   ¼ö¾çÀÇ¹ÝÁö
;1/500   ÁÖ¼úÀÇ¹ÝÁö

1/4  gold  450
1/5  (HP)DrugLarge
1/10 (MP)DrugLarge
1/20  SunPotion
1/20  SunPotion
1/20  SunPotion

1/2000   ConvexLens
1/1000   BambooPipe
1/1000   ShamanHelmet
1/1000   PurifierSword
1/2000   CoralRing
1/1000   ExpelRing

1/1500   SkeletonHelmet
1/1500   DeathGauntlet
1/1500   PowerAxe

1/500   HeavyArmour(M)
1/500   HeavyArmour(F)
1/500   SoulArmour(F)
1/500   SoulArmour(M)
1/500   MagicRobe(M)
1/500   MagicRobe(F)
1/500   GoldRing
1/500   BlueJadeneck
1/500   GoldBracelet
1/500   MoralRing
1/500   CharmRing
