1/6    gold  220
1/10    (HP)DrugMedium
1/20   (MP)DrugMedium
1/40   SunPotion

;;new items
1/20000   SpiritDrug
;;

1/1600    MonkBracelet
1/1600    EbonyBracelet
1/1600    KrissSword
1/1600    BlackRing
1/1600    SerpentEyeRing
1/1600    PearlRing
1/1600    PrinceSword
1/1600    MartialSword
1/1600    HookedSpear
1/1600    IronRing
1/1600    TigerNecklace
1/1600    PlatinumNeck
1/1600    SkeletonRing
1/1600    ThinBracelet

1/500    HookedSword
1/500    Scimitar
1/500    Trident
1/500    SteelSword
1/500    BlueRing
1/500    NagaNecklace
1/500    AmberNeck
1/500    PhoenixBead
1/500    HardGlove
1/500    set1bracer
1/500    LanternNeck
1/500    IronSword
1/500    ShortSword
1/500    BronzeHelmet
1/500    LightArmour(M)
1/500    LightArmour(F)
1/500    BronzeAxe
1/500    EbonyNecklace
1/500    YellowNecklace
1/500    BlackNecklace
1/500    BronzeHelmet
1/500    BronzeSword
1/500    ThinBracelet
1/500    GlassRing
1/500    HexagonalRing
1/500    LeatherGlove
1/500    SilverBracelet
1/500    °­Ã¶ÆÈÁö
1/500    HornRing
1/500    LargeBracelet
